country,lifetime_physical_or_sexual_intimate_partner_violence,lastyear_physical_or_sexual_intimate_partner_violence,lifetime_non_partner_sexual_violence,child_marriage,female_genital_mutilation,reports
Liberia,0.493,0.348,,0.359,0.444,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/liberia/liberia%20cedaw%20co.pdf?vs=5825'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/liberia/liberia%20upr%20wg%20report.pdf?vs=5836'}]"
Libya,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/libya/libya%20cedaw%20co.pdf?vs=5925'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/libya/libya%20upr%20wg%20report.pdf?vs=37'}]"
Liechtenstein,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/liechtenstein/liechtenstein%20srvaw.pdf?vs=1128'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/liechtenstein/liechtenstein%20cedaw%20co.pdf?vs=1107'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/liechtenstein/liechtenstein%20upr%20wg%20report.pdf?vs=3102'}]"
Lithuania,0.24,0.04,0.05,0.0,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/lithuania/lithuania%20cedaw%20co.pdf?vs=1237'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/lithuania/lithuania%20upr%20wg%20report.pdf?vs=3217'}]"
Luxembourg,0.22,0.03,0.08,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/luxembourg/luxembourg%20cedaw%20co.pdf?vs=1348'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/luxembourg/luxembourg%20upr%20wg%20report.pdf?vs=1413'}]"
Madagascar,,,,0.4,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/madagascar/madagascar%20cedaw%20co.pdf?vs=124'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/madagascar/madagascar%20upr%20wg%20report.pdf?vs=135'}]"
Malawi,0.375,0.243,,0.421,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/malawi/malawi%20cedaw%20co.pdf?vs=238'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/malawi/malawi%20upr%20wg%20report.pdf?vs=251'}]"
Malaysia,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/malaysia/malaysia%20cedaw%20co.pdf?vs=850'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/malaysia/malaysia%20upr%20wg%20report.pdf?vs=928'}]"
Maldives,0.163,0.056,,0.022,0.129,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/maldives/maldives%20cedaw%20co.pdf?vs=5516'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/maldives/maldives%20upr%20wg%20report.pdf?vs=5600'}]"
Mali,0.391,0.209,,0.537,0.886,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mali/mali%20cedaw%20co.pdf?vs=323'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mali/mali%20upr%20wg%20report.pdf?vs=333'}]"
Malta,0.15,0.04,0.05,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/malta/malta%20cedaw%20co.pdf?vs=1516'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/malta/malta%20upr%20wg%20report.pdf?vs=1612'}]"
Marshall Islands,0.509,0.182,0.13,0.263,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/marshall%20islands/marshall%20islands%20upr%20wg%20report.pdf?vs=3627'}]"
Mauritania,0.093,0.064,,0.37,0.666,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mauritania/mauritania%20cedaw%20co.pdf?vs=419'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mauritania/mauritania%20upr%20wg%20report.pdf?vs=446'}]"
Mauritius,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mauritius/mauritius%20cedaw%20co.pdf?vs=542'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mauritius/mauritius%20upr%20wg%20report.pdf?vs=555'}]"
Mexico,0.246,0.075,0.476,0.207,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/mexico/mexico%20srvaw.pdf?vs=5324'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/mexico/mexico%20cedaw%20co.pdf?vs=5315'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/mexico/mexico%20upr%20wg%20report.pdf?vs=5332'}]"
Micronesia (Federated States of),0.328,0.241,0.08,,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/micronesia%20federated%20states%20of/micronesia%20upr%20wg%20report.pdf?vs=3838'}]"
Monaco,,,,,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/monaco/monaco%20upr%20wg%20report.pdf?vs=2353'}]"
Mongolia,0.312,0.127,0.14,0.12,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/mongolia/mongolia%20cedaw%20co.pdf?vs=5656'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/mongolia/mongolia%20upr%20wg%20report.pdf?vs=5707'}]"
Montenegro,0.17,0.048,0.01,0.058,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/montenegro/montenegro%20cedaw%20co.pdf?vs=2503'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/montenegro/montenegro%20upr%20wg%20report.pdf?vs=2536'}]"
Morocco,,0.142,,0.137,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/morocco/morocco%20cedaw%20co.pdf?vs=1312'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/morocco/morocco%20upr%20wg%20report.pdf?vs=1322'}]"
Mozambique,0.217,0.155,,0.529,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mozambique/mozambique%20cedaw%20co.pdf?vs=1429'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/mozambique/mozambique%20upr%20wg%20report.pdf?vs=1439'}]"
Myanmar,0.173,0.11,,0.16,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/myanmar/myanmar%20cedaw%20co.pdf?vs=5816'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/myanmar/myanmar%20upr%20wg%20report.pdf?vs=5904'}]"
Namibia,0.267,0.202,,0.069,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/namibia/namibia%20cedaw%20co.pdf?vs=829'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/namibia/namibia%20upr%20wg%20report.pdf?vs=838'}]"
Nauru,0.481,0.221,0.473,0.268,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/nauru/nauru%20upr%20wg%20report.pdf?vs=3938'}]"
Nepal,0.25,0.112,,0.328,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/nepal/nepal%20srvaw.pdf?vs=30'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/nepal/nepal%20cedaw%20co.pdf?vs=9'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/nepal/nepal%20upr%20wg%20report.pdf?vs=107'}]"
Netherlands,0.25,0.05,0.12,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/netherlands/netherlands%20srvaw.pdf?vs=1250'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/netherlands/netherlands%20cedaw%20co.pdf?vs=1239'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/netherlands/netherlands%20upr%20wg%20report.pdf?vs=1845'}]"
New Zealand,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/new%20zealand/nz%20cedaw%20co.pdf?vs=4139'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/new%20zealand/new%20zealand%20upr%20wg%20report.pdf?vs=4031'}]"
Nicaragua,0.225,0.075,,0.352,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/nicaragua/nicaragua%20cedaw%20co.pdf?vs=3245'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/nicaragua/nicaragua%20upr%20wg%20report.pdf?vs=3300'}]"
Niger,,,,0.763,0.02,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/niger/niger%20cedaw%20co.pdf?vs=1527'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/niger/niger%20upr%20wg%20report.pdf?vs=1538'}]"
Nigeria,0.223,0.138,,0.434,0.195,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/nigeria/nigeria%20cedaw%20co.pdf?vs=1635'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/nigeria/nigeria%20upr%20wg%20report.pdf?vs=3031'}]"
North Macedonia (Republic of),0.1,0.031,0.02,0.075,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/the%20former%20yugoslav%20republic%20of%20macedonia/the%20former%20yugoslav%20republic%20of%20macedonia%20cedaw%20co.pdf?vs=3252'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/the%20former%20yugoslav%20republic%20of%20macedonia/the%20former%20yugoslav%20republic%20of%20macedonia%20upr%20wg%20report.pdf?vs=3302'}]"
Norway,0.27,0.06,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/norway/norway%20cedaw%20co.pdf?vs=1920'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/norway/norway%20upr%20wg%20report.pdf?vs=1935'}]"
Oman,,,,0.04,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/oman/oman%20cedaw%20co.pdf?vs=141'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/oman/oman%20upr%20wg%20report.pdf?vs=158'}]"
Pakistan,0.245,0.145,,0.183,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/pakistan/pakistan%20srvaw.pdf?vs=354'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/pakistan/pakistan%20cedaw%20co.pdf?vs=312'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/pakistan/pakistan%20upr%20wg%20report.pdf?vs=354'}]"
Palau,0.252,0.084,0.151,,,"[{'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/palau/palau%20upr%20wg%20report.pdf?vs=4235'}]"
Panama,0.144,0.101,,0.264,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/panama/panama%20cedaw%20co.pdf?vs=3413'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/panama/panama%20upr%20wg%20report.pdf?vs=3439'}]"
Papua New Guinea,0.583,0.476,,0.273,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/papua%20new%20guinea/papua%20new%20guinea%20srvaw.pdf?vs=4330'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/papua%20new%20guinea/png%20cedaw%20co.pdf?vs=4407'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/oceania/papua%20new%20guinea/png%20upr%20wg%20report.pdf?vs=4407'}]"
Paraguay,0.204,0.08,,0.216,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/paraguay/paraguay%20cedaw%20co.pdf?vs=3548'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/paraguay/paraguay%20upr%20wg%20report.pdf?vs=3600'}]"
Peru,0.312,0.106,,0.174,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/peru/peru%20cedaw%20co.pdf?vs=3651'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/peru/peru%20upr%20wg%20report.pdf?vs=3705'}]"
Philippines,0.148,0.055,,0.165,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/philippines/philippines%20cedaw%20co.pdf?vs=456'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/philippines/philippines%20upr%20wg%20report.pdf?vs=533'}]"
Poland,0.13,0.02,0.02,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/poland/poland%20srvaw.pdf?vs=2054'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/poland/poland%20cedaw%20co.pdf?vs=2043'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/poland/poland%20upr%20wg%20report.pdf?vs=2119'}]"
Portugal,0.19,0.05,0.01,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/portugal/portugal%20cedaw%20co.pdf?vs=2153'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/portugal/portugal%20upr%20wg%20report.pdf?vs=2203'}]"
Qatar,,,,0.042,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/qatar/qatar%20cedaw%20co.pdf?vs=625'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/qatar/qatar%20upr%20wg%20report.pdf?vs=641'}]"
Republic of Korea,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/republic%20of%20korea/republic%20of%20korea%20srvaw.pdf?vs=828'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/republic%20of%20korea/republic%20of%20korea%20cedaw%20co.pdf?vs=733'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/asia/republic%20of%20korea/republic%20of%20korea%20upr%20wg%20report.pdf?vs=840'}]"
Republic of Moldova,0.34,0.094,0.04,0.122,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/moldova%20republic%20of/moldova%20srvaw.pdf?vs=1729'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/moldova%20republic%20of/republic%20of%20moldova%20cedaw%20co.pdf?vs=1756'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/moldova%20republic%20of/republic%20of%20moldova%20upr%20wg%20report.pdf?vs=3402'}]"
Romania,0.24,0.06,0.02,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/romania/romania%20cedaw%20co.pdf?vs=2230'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/romania/romania%20upr%20wg%20report.pdf?vs=2242'}]"
Russian Federation,,,,,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/russian%20federation/russian%20federation%20srvaw.pdf?vs=2341'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/russian%20federation/russia%20cedaw%20co.pdf?vs=2312'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/europe/russian%20federation/russian%20federation%20upr%20wg%20report.pdf?vs=3944'}]"
Rwanda,0.415,0.238,,0.068,,"[{'report_name': 'Report of the Special Rapporteur on Violence against Women, its Causes and Consequences', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/rwanda/rwanda%20srvaw.pdf?vs=1800'}, {'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/rwanda/rwanda%20cedaw%20co.pdf?vs=1730'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/africa/rwanda/rwanda%20upr%20wg%20report.pdf?vs=1800'}]"
Saint Kitts and Nevis,,,,,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20kitts%20and%20nevis/saint%20kitts%20and%20nevis%20cedaw%20co.pdf?vs=3755'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20kitts%20and%20nevis/saint%20kitts%20and%20nevis%20upr%20wg%20report.pdf?vs=3803'}]"
Saint Lucia,,,,0.24,,"[{'report_name': 'Concluding observations of the Committee on the Elimination of Discrimination against Women (CEDAW)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20lucia/saint%20lucia%20cedaw%20co.pdf?vs=3856'}, {'report_name': 'Report of the Working Group on the Universal Periodic Review (UPR)', 'report_link': 'https://evaw-global-database.unwomen.org/-/media/files/un%20women/vaw/country%20report/america/saint%20lucia/saint%20lucia%20upr%20wg%20report.pdf?vs=3906'}]"
